Rank,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Balanced_Accuracy,MCC,Kappa,Log_Loss,CV_Mean,CV_STD,Train_Time,Predict_Time
1,Logistic Regression,0.9167,1.0,0.8214,0.902,0.9531,0.9107,0.8429,0.8307,0.2843,0.8316,0.1046,0.0063,0.0008
2,KNN,0.9,1.0,0.7857,0.88,0.9593,0.8929,0.8134,0.7964,0.8246,0.8179,0.1115,0.0019,0.005
3,LDA,0.9,1.0,0.7857,0.88,0.952,0.8929,0.8134,0.7964,0.2909,0.8316,0.1066,0.0029,0.0009
4,SVM,0.9,1.0,0.7857,0.88,0.9397,0.8929,0.8134,0.7964,0.3246,0.8247,0.0958,0.0127,0.0018
5,Random Forest,0.8833,0.9565,0.7857,0.8627,0.9403,0.8772,0.7742,0.763,0.3469,0.7875,0.1351,0.2934,0.0321
6,Gradient Boosting,0.8667,0.9167,0.7857,0.8462,0.9263,0.8616,0.7365,0.7297,0.3337,0.7301,0.1474,0.1745,0.0063
7,Naive Bayes,0.8667,1.0,0.7143,0.8333,0.9129,0.8571,0.7559,0.7273,0.4326,0.8311,0.1166,0.0081,0.0089
8,MLP,0.85,0.88,0.7857,0.8302,0.9263,0.846,0.7002,0.6966,0.4648,0.7846,0.1288,3.8262,0.003
9,AdaBoost,0.85,0.9524,0.7143,0.8163,0.9353,0.8415,0.7144,0.6939,0.5246,0.8077,0.0944,0.105,0.0221
10,Decision Tree,0.7833,0.8,0.7143,0.7547,0.779,0.779,0.5647,0.5618,7.8095,0.67,0.1594,0.0059,0.0039
